organization_location,part_number,material_name,shipment_from_location,lead_time_days,supplying_quantity,unit_price,required_quantity,quantity_fill_rate,is_full_quantity,total_price,was_selected
Delhi,PN-8465,Copper Wire,Chennai,18,413,14.21,413,1.0,1,5870.18,1
Pune,PN-9455,Aluminum Sheet,Chennai,29,431,41.19,559,0.77,0,23025.85,1
Mumbai,PN-1137,Plastic Resins,Bangalore,23,407,12.43,407,1.0,1,5060.99,1
Chennai,PN-3679,Plastic Resins,New York,24,817,15.53,817,1.0,1,12689.51,1
Chennai,PN-7293,Electronic Components,Berlin,23,309,166.7,389,0.79,0,64846.03,1
Bangalore,PN-8545,Electronic Components,Berlin,25,375,133.5,375,1.0,1,50064.17,1
Mumbai,PN-8779,Electronic Components,London,23,197,120.92,574,0.34,0,69410.34,1
Pune,PN-6926,Steel Plate,Bangalore,18,201,60.91,230,0.87,0,14009.1,1
Bangalore,PN-6620,Electronic Components,Pune,9,285,132.05,285,1.0,1,37633.11,1
Mumbai,PN-4648,Plastic Resins,Delhi,21,592,12.78,906,0.65,0,11582.52,1
Delhi,PN-9506,Steel Plate,Delhi,12,185,57.0,185,1.0,1,10545.08,1
Chennai,PN-7882,Electronic Components,London,25,563,152.1,563,1.0,1,85630.39,1
Bangalore,PN-6701,Copper Wire,Mumbai,11,381,13.54,432,0.88,0,5850.37,1
Pune,PN-5354,Plastic Resins,Delhi,4,663,8.02,678,0.98,0,5439.57,1
Bangalore,PN-6388,Aluminum Sheet,Pune,19,782,29.45,782,1.0,1,23026.54,1
Bangalore,PN-8589,Steel Plate,New York,44,217,75.92,573,0.38,0,43502.2,1
Pune,PN-3539,Electronic Components,Delhi,30,471,134.18,581,0.81,0,77958.77,1
Bangalore,PN-7396,Fasteners,Chennai,19,561,5.34,899,0.62,0,4796.76,1
Pune,PN-4757,Aluminum Sheet,Shanghai,25,308,43.66,475,0.65,0,20737.59,1
Bangalore,PN-5997,Plastic Resins,Pune,12,714,12.86,741,0.96,0,9528.72,1
Chennai,PN-1203,Fasteners,New York,19,220,6.33,220,1.0,1,1393.33,1
Chennai,PN-9042,Electronic Components,New York,44,164,104.98,164,1.0,1,17216.85,1
Chennai,PN-9535,Copper Wire,Chennai,28,376,18.02,376,1.0,1,6775.11,1
Pune,PN-3836,Plastic Resins,Delhi,9,341,10.4,388,0.88,0,4034.63,1
Chennai,PN-4007,Plastic Resins,New York,24,127,14.13,127,1.0,1,1794.51,1
Delhi,PN-4424,Copper Wire,Pune,7,309,16.72,659,0.47,0,11016.54,1
Delhi,PN-9362,Copper Wire,New York,39,355,21.87,487,0.73,0,10651.45,1
Pune,PN-7518,Copper Wire,Mumbai,29,221,19.91,641,0.34,0,12763.49,1
Mumbai,PN-5595,Copper Wire,Delhi,24,436,14.7,436,1.0,1,6411.02,1
Delhi,PN-3831,Plastic Resins,Shanghai,25,868,10.39,970,0.89,0,10076.3,1
Chennai,PN-7748,Electronic Components,Mumbai,25,286,85.61,404,0.71,0,34585.39,1
Chennai,PN-5112,Steel Plate,Pune,26,447,52.01,447,1.0,1,23249.74,1
Mumbai,PN-4637,Electronic Components,Chennai,9,510,103.79,683,0.75,0,70886.65,1
Mumbai,PN-8049,Plastic Resins,Bangalore,3,198,8.13,402,0.49,0,3266.69,1
Delhi,PN-1752,Plastic Resins,Chennai,22,99,11.46,108,0.92,0,1238.1,1
Chennai,PN-7559,Copper Wire,Berlin,38,841,23.51,841,1.0,1,19771.84,1
Pune,PN-1412,Aluminum Sheet,New York,44,241,35.55,241,1.0,1,8566.63,1
Delhi,PN-1433,Steel Plate,Chennai,9,769,43.05,769,1.0,1,33108.61,1
Chennai,PN-3319,Steel Plate,Chennai,23,941,54.37,941,1.0,1,51163.04,1
Delhi,PN-8339,Copper Wire,Shanghai,36,707,16.45,981,0.72,0,16137.91,1
Bangalore,PN-6406,Copper Wire,Shanghai,39,257,21.62,257,1.0,1,5555.58,1
Pune,PN-2017,Aluminum Sheet,New York,46,384,40.27,384,1.0,1,15465.39,1
Bangalore,PN-5357,Steel Plate,Pune,24,365,62.76,484,0.75,0,30378.04,1
Chennai,PN-1612,Plastic Resins,Berlin,40,355,11.67,355,1.0,1,4142.15,1
Delhi,PN-8952,Electronic Components,Berlin,36,396,133.27,590,0.67,0,78627.38,1
Chennai,PN-7121,Copper Wire,Shanghai,45,633,18.35,633,1.0,1,11617.44,1
Delhi,PN-5833,Aluminum Sheet,Chennai,14,210,37.36,222,0.95,0,8295.01,1
Chennai,PN-5512,Copper Wire,Berlin,36,219,22.64,219,1.0,1,4959.01,1
Chennai,PN-2874,Electronic Components,Bangalore,18,54,138.29,212,0.25,0,29318.52,1
Chennai,PN-1289,Aluminum Sheet,Chennai,4,856,40.95,941,0.91,0,38536.96,1
Delhi,PN-3004,Aluminum Sheet,Bangalore,18,801,24.9,802,1.0,0,19973.06,1
Pune,PN-5125,Plastic Resins,Delhi,5,493,8.8,811,0.61,0,7138.9,1
Mumbai,PN-6158,Steel Plate,Shanghai,23,491,65.01,491,1.0,1,31921.75,1
